date,cme_count_24h,earth_directed_cme_count_72h,max_cme_speed_72h,mean_cme_speed_72h,mean_cme_half_angle_72h,impact_count_24h,flare_count_24h,m_flare_count_72h,x_flare_count_72h,prior_day_max_kp,prior_3day_mean_kp,target_kp
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,1.0,0.0,395.0,395.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,1.0,0.0,395.0,325.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,4.0,1.0,1035.0,639.1666666666666,25.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,3.0,1.0,1035.0,556.375,23.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,3.0,1.0,1035.0,538.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-07,7.0,0.0,892.0,395.46153846153845,21.76923076923077,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2023-01-08,1.0,0.0,892.0,405.8181818181818,23.727272727272727,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2023-01-09,3.0,0.0,892.0,381.6363636363636,22.363636363636363,0.0,4.0,5.0,1.0,0.0,0.0,0.0
2023-01-10,6.0,0.0,694.0,444.6,23.1,0.0,4.0,8.0,1.0,0.0,0.0,0.0
2023-01-11,7.0,0.0,1214.0,605.875,22.125,0.0,7.0,13.0,2.0,0.0,0.0,0.0
2023-01-12,5.0,0.0,1214.0,750.3888888888889,22.61111111111111,0.0,4.0,13.0,2.0,0.0,0.0,0.0
2023-01-13,4.0,0.0,1214.0,780.1875,23.9375,0.0,5.0,15.0,1.0,0.0,0.0,0.0
2023-01-14,3.0,0.0,1181.0,791.0833333333334,26.416666666666668,0.0,2.0,11.0,0.0,0.0,0.0,0.0
2023-01-15,2.0,0.0,1181.0,616.6666666666666,26.444444444444443,0.0,3.0,10.0,0.0,0.0,0.0,0.0
2023-01-16,4.0,2.0,1181.0,631.0,29.666666666666668,0.0,2.0,7.0,0.0,0.0,0.0,0.0
2023-01-17,1.0,2.0,1024.0,494.0,28.571428571428573,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2023-01-18,3.0,2.0,1024.0,547.75,30.375,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2023-01-19,4.0,0.0,906.0,615.875,26.75,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2023-01-20,4.0,1.0,1052.0,679.9090909090909,26.727272727272727,0.0,3.0,5.0,0.0,0.0,0.0,0.0
2023-01-21,3.0,1.0,1052.0,682.9090909090909,26.454545454545453,0.0,1.0,4.0,0.0,0.0,0.0,0.0
2023-01-22,3.0,1.0,1052.0,610.6,22.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2023-01-23,2.0,0.0,806.0,561.375,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2023-01-24,3.0,0.0,717.0,472.5,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2023-01-25,2.0,1.0,717.0,497.85714285714283,17.285714285714285,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2023-01-26,3.0,1.0,931.0,557.75,23.375,0.0,3.0,3.0,0.0,0.0,0.0,0.0
2023-01-27,2.0,1.0,1016.0,716.2857142857143,29.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
2023-01-28,7.0,0.0,1016.0,661.0,23.916666666666668,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2023-01-29,3.0,0.0,1016.0,576.5,22.166666666666668,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2023-01-30,6.0,0.0,945.0,511.625,20.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,7.0,0.0,820.0,473.1875,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,3.0,0.0,820.0,499.5625,26.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-02,5.0,0.0,1077.0,560.6,30.466666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-03,3.0,0.0,1193.0,697.0909090909091,25.636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-04,5.0,2.0,1261.0,720.6923076923077,28.46153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
